PolParty,PolViews,Race,Gender,HighestDegree,Age,Children,MaritalStatus,LaborForceStatus
Democrat,Liberal,Black,Female,HighSchool,41,2,Separated,FullTime
Democrat,Liberal,White,Female,HighSchool,29,0,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,21,0,NeverMarried,FullTime
Independent,Moderate,White,Female,JrCol,37,1,Married,PartTime
Independent,Liberal,White,Male,JrCol,71,0,Widowed,Retired
Democrat,Moderate,Black,Female,JrCol,31,1,NeverMarried,FullTime
Republican,Conservative,White,Female,HighSchool,22,1,Divorced,FullTime
Democrat,Moderate,White,Female,HighSchool,68,4,Married,StayAtHome
Republican,Conservative,White,Female,HighSchool,51,2,Married,StayAtHome
Independent,Conservative,White,Female,SomeHS,65,0,NeverMarried,StayAtHome
Independent,Conservative,Other,Male,SomeHS,27,1,NeverMarried,UnemplLaidoff
Independent,Liberal,White,Male,HighSchool,43,2,Separated,Unempl
Independent,Conservative,White,Female,HighSchool,37,3,Married,StayAtHome
Independent,Conservative,Other,Female,HighSchool,38,0,Married,FullTime
Democrat,Conservative,Other,Female,HighSchool,28,3,Married,StayAtHome
Democrat,Conservative,Other,Male,HighSchool,21,0,NeverMarried,PartTime
Democrat,Liberal,Other,Female,HighSchool,49,4,Married,StayAtHome
Independent,Liberal,Other,Female,JrCol,31,2,Married,InSchool
Democrat,Moderate,White,Male,HighSchool,46,2,Married,FullTime
Independent,Conservative,White,Female,HighSchool,35,1,NeverMarried,StayAtHome
Independent,Conservative,White,Male,Bachelor,77,4,Married,Retired
Republican,Liberal,White,Male,HighSchool,40,2,Separated,FullTime
Independent,Moderate,White,Male,JrCol,22,0,NeverMarried,FullTime
Independent,Moderate,White,Female,Bachelor,36,2,Married,FullTime
Independent,Conservative,White,Female,SomeHS,23,3,NeverMarried,StayAtHome
Democrat,Moderate,White,Female,HighSchool,32,1,NeverMarried,FullTime
Democrat,Conservative,Black,Male,SomeHS,56,3,Married,FullTime
Independent,Conservative,White,Male,SomeHS,43,2,Married,FullTime
Democrat,Moderate,Other,Male,SomeHS,35,0,NeverMarried,UnemplLaidoff
Independent,Moderate,White,Female,Bachelor,34,0,NeverMarried,FullTime
Democrat,Liberal,White,Male,Bachelor,32,2,Widowed,FullTime
Independent,Moderate,Black,Female,Bachelor,52,2,Married,FullTime
Independent,Liberal,White,Male,Bachelor,43,1,Married,FullTime
Democrat,Liberal,White,Female,Graduate,34,0,Married,FullTime
Democrat,Liberal,White,Female,Graduate,62,3,Married,FullTime
Republican,Conservative,White,Female,HighSchool,33,2,Married,FullTime
Independent,Liberal,White,Male,Bachelor,43,0,NeverMarried,FullTime
Democrat,Liberal,White,Female,Graduate,38,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,32,2,Married,FullTime
Independent,Conservative,White,Male,Bachelor,33,0,NeverMarried,FullTime
Republican,Conservative,White,Female,Bachelor,33,2,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,46,0,Divorced,FullTime
Democrat,Liberal,White,Female,HighSchool,21,0,NeverMarried,InSchool
Democrat,Liberal,White,Female,Bachelor,28,0,Divorced,UnemplLaidoff
Democrat,Liberal,White,Male,HighSchool,35,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,56,1,Divorced,FullTime
Independent,Moderate,White,Male,HighSchool,26,0,NeverMarried,PartTime
Independent,Liberal,Other,Male,Bachelor,26,0,NeverMarried,PartTime
Republican,Conservative,White,Female,HighSchool,28,0,NeverMarried,Unempl
Independent,Moderate,Other,Female,HighSchool,27,0,NeverMarried,FullTime
Independent,Liberal,White,Female,HighSchool,22,0,NeverMarried,PartTime
Democrat,Moderate,White,Female,Bachelor,37,1,Married,FullTime
Democrat,Liberal,White,Male,Bachelor,28,0,Married,FullTime
Democrat,Moderate,White,Male,JrCol,25,1,Married,FullTime
Republican,Conservative,Black,Male,HighSchool,70,0,NeverMarried,Retired
Democrat,Moderate,White,Female,Bachelor,30,0,Married,FullTime
Democrat,Liberal,White,Female,Graduate,34,0,Married,FullTime
Democrat,Liberal,White,Female,Graduate,37,3,Married,FullTime
Republican,Conservative,White,Male,HighSchool,73,2,Married,FullTime
Independent,Moderate,White,Male,HighSchool,26,0,NeverMarried,PartTime
Democrat,Liberal,White,Male,Bachelor,55,2,Married,FullTime
Independent,Moderate,White,Female,HighSchool,55,1,Widowed,PartTime
Democrat,Conservative,Black,Male,HighSchool,35,3,Married,FullTime
Democrat,Liberal,White,Female,JrCol,43,4,Divorced,FullTime
Republican,Conservative,White,Male,JrCol,28,0,NeverMarried,FullTime
Democrat,Moderate,Black,Female,HighSchool,43,1,Married,FullTime
Independent,Conservative,Black,Male,SomeHS,44,1,Married,FullTime
Republican,Conservative,White,Male,HighSchool,34,3,Married,FullTime
Republican,Liberal,White,Female,HighSchool,34,3,Married,FullTime
Republican,Conservative,White,Female,HighSchool,39,3,Married,FullTime
Independent,Liberal,White,Female,HighSchool,30,0,Divorced,FullTime
Republican,Conservative,White,Male,Bachelor,44,2,Separated,FullTime
Democrat,Liberal,Black,Female,HighSchool,40,3,Separated,FullTime
Republican,Moderate,White,Male,Bachelor,49,0,Divorced,PartTime
Independent,Moderate,Black,Male,Bachelor,33,0,Widowed,FullTime
Republican,Moderate,White,Female,JrCol,26,0,Divorced,FullTime
Independent,Moderate,White,Female,HighSchool,56,0,NeverMarried,Unempl
Democrat,Conservative,Black,Male,SomeHS,64,6,Married,Retired
Democrat,Liberal,Black,Male,SomeHS,62,0,NeverMarried,Retired
Democrat,Liberal,Black,Female,SomeHS,70,0,Divorced,Retired
Democrat,Liberal,Black,Female,HighSchool,36,4,Divorced,StayAtHome
Democrat,Moderate,Black,Female,HighSchool,70,0,Widowed,Retired
Republican,Conservative,Black,Female,HighSchool,19,0,NeverMarried,FullTime
Independent,Liberal,Black,Female,SomeHS,72,0,Widowed,StayAtHome
Democrat,Moderate,Black,Female,Bachelor,76,3,Widowed,StayAtHome
Democrat,Conservative,Black,Male,HighSchool,22,1,NeverMarried,FullTime
Democrat,Moderate,Black,Female,Graduate,58,1,Married,PartTime
Democrat,Liberal,Black,Female,SomeHS,75,8,Widowed,PartTime
Democrat,Conservative,Black,Female,HighSchool,42,0,Married,FullTime
Democrat,Moderate,Black,Male,SomeHS,44,0,Divorced,FullTime
Republican,Moderate,White,Male,HighSchool,75,5,Widowed,Retired
Independent,Moderate,White,Male,HighSchool,33,0,NeverMarried,FullTime
Independent,Liberal,White,Female,Graduate,69,3,Widowed,Retired
Democrat,Liberal,White,Male,Bachelor,43,0,Divorced,FullTime
Democrat,Liberal,White,Female,HighSchool,38,4,Married,FullTime
Democrat,Moderate,Black,Female,HighSchool,28,4,NeverMarried,FullTime
Republican,Conservative,Black,Male,HighSchool,40,0,Widowed,FullTime
Republican,Moderate,White,Female,Bachelor,27,0,NeverMarried,FullTime
Republican,Moderate,White,Male,HighSchool,21,0,Married,FullTime
Independent,Conservative,White,Female,HighSchool,44,1,Married,FullTime
Republican,Conservative,White,Male,HighSchool,47,3,Married,FullTime
Republican,Conservative,White,Male,HighSchool,45,2,Married,FullTime
Independent,Conservative,White,Female,Graduate,39,1,Married,FullTime
Independent,Liberal,White,Male,Graduate,28,0,NeverMarried,FullTime
Independent,Liberal,White,Female,HighSchool,46,0,Divorced,Retired
Republican,Conservative,White,Female,HighSchool,59,4,Divorced,FullTime
Democrat,Liberal,White,Female,Graduate,76,4,Married,StayAtHome
Independent,Liberal,White,Female,HighSchool,34,2,Married,FullTime
Republican,Conservative,White,Female,HighSchool,33,1,Married,StayAtHome
Democrat,Conservative,White,Female,Bachelor,33,0,Divorced,FullTime
Democrat,Moderate,White,Female,HighSchool,32,2,Married,StayAtHome
Independent,Moderate,White,Female,HighSchool,29,2,Married,FullTime
Republican,Conservative,White,Male,Bachelor,57,0,Married,FullTime
Independent,Liberal,White,Female,HighSchool,31,1,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,37,1,Married,FullTime
Republican,Liberal,White,Female,SomeHS,32,0,Divorced,PartTime
Republican,Conservative,Black,Male,SomeHS,73,3,Married,Retired
Democrat,Conservative,Black,Female,JrCol,31,2,Married,FullTime
Republican,Conservative,White,Male,JrCol,28,0,Married,FullTime
Independent,Liberal,White,Female,HighSchool,20,1,Married,FullTime
Democrat,Liberal,White,Male,HighSchool,35,2,Married,FullTime
Democrat,Moderate,White,Male,HighSchool,32,2,Married,FullTime
Republican,Moderate,White,Female,SomeHS,56,3,Married,StayAtHome
Republican,Moderate,White,Female,HighSchool,33,1,Divorced,FullTime
Republican,Moderate,White,Female,SomeHS,56,2,Married,FullTime
Republican,Moderate,White,Male,HighSchool,32,2,Married,FullTime
Independent,Moderate,White,Female,Bachelor,38,0,NeverMarried,FullTime
Democrat,Liberal,White,Female,HighSchool,57,2,Divorced,FullTime
Independent,Moderate,White,Male,HighSchool,51,5,Divorced,FullTime
Independent,Liberal,White,Male,HighSchool,32,0,NeverMarried,FullTime
Republican,Moderate,White,Male,JrCol,44,0,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,37,6,Divorced,FullTime
Republican,Liberal,White,Male,HighSchool,35,0,Married,FullTime
Republican,Conservative,White,Female,JrCol,49,2,Married,FullTime
Independent,Moderate,Other,Female,HighSchool,35,2,Married,PartTime
Independent,Moderate,White,Female,SomeHS,18,0,NeverMarried,PartTime
Democrat,Liberal,White,Female,HighSchool,75,4,Widowed,StayAtHome
Independent,Liberal,White,Male,SomeHS,44,2,Married,FullTime
Independent,Liberal,White,Male,HighSchool,50,0,NeverMarried,FullTime
Democrat,Liberal,Black,Female,Bachelor,23,0,NeverMarried,FullTime
Independent,Liberal,White,Male,Bachelor,42,0,Married,PartTime
Independent,Conservative,White,Male,SomeHS,28,0,NeverMarried,FullTime
Democrat,Conservative,Black,Male,HighSchool,47,2,Married,FullTime
Democrat,Moderate,Black,Female,HighSchool,20,1,NeverMarried,FullTime
Democrat,Liberal,White,Female,HighSchool,28,0,NeverMarried,FullTime
Independent,Moderate,White,Female,JrCol,58,2,Widowed,Retired
Democrat,Liberal,White,Male,HighSchool,84,1,Married,Retired
Republican,Conservative,White,Female,Bachelor,46,0,NeverMarried,FullTime
Democrat,Liberal,White,Female,SomeHS,39,1,Separated,StayAtHome
Republican,Conservative,White,Male,Bachelor,33,3,Married,FullTime
Republican,Moderate,White,Female,Bachelor,69,0,Widowed,StayAtHome
Democrat,Liberal,Other,Male,Bachelor,31,0,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,68,3,Separated,StayAtHome
Independent,Liberal,White,Female,Bachelor,49,3,Married,StayAtHome
Independent,Liberal,White,Female,JrCol,38,0,Divorced,StayAtHome
Independent,Conservative,White,Male,HighSchool,34,0,Divorced,FullTime
Democrat,Moderate,White,Male,Bachelor,35,0,Divorced,FullTime
Democrat,Moderate,White,Female,Bachelor,28,1,NeverMarried,StayAtHome
Democrat,Moderate,White,Female,HighSchool,54,3,Widowed,StayAtHome
Independent,Liberal,White,Female,JrCol,77,2,Married,StayAtHome
Republican,Moderate,White,Female,HighSchool,46,0,NeverMarried,FullTime
Republican,Moderate,White,Male,JrCol,26,2,Married,FullTime
Democrat,Moderate,White,Female,HighSchool,66,1,Widowed,PartTime
Democrat,Moderate,White,Male,Graduate,46,0,NeverMarried,FullTime
Independent,Moderate,Black,Female,HighSchool,46,2,NeverMarried,StayAtHome
Independent,Moderate,White,Female,HighSchool,33,2,Married,PartTime
Democrat,Moderate,White,Male,Graduate,38,1,Married,FullTime
Democrat,Liberal,White,Male,Bachelor,48,0,NeverMarried,FullTime
Democrat,Moderate,White,Female,Graduate,67,0,NeverMarried,PartTime
Independent,Moderate,White,Female,Bachelor,46,0,NeverMarried,PartTime
Democrat,Moderate,White,Female,HighSchool,21,0,NeverMarried,InSchool
Democrat,Conservative,White,Female,JrCol,40,2,Married,FullTime
Republican,Conservative,White,Female,SomeHS,85,2,Widowed,Retired
Democrat,Moderate,White,Female,HighSchool,23,1,Married,FullTime
Independent,Conservative,White,Male,HighSchool,51,2,Married,FullTime
Independent,Liberal,White,Male,SomeHS,54,1,Divorced,FullTime
Independent,Conservative,White,Female,SomeHS,33,3,Married,UnemplLaidoff
Republican,Liberal,White,Male,SomeHS,20,0,NeverMarried,InSchool
Democrat,Liberal,Black,Female,SomeHS,21,1,NeverMarried,InSchool
Independent,Conservative,Black,Female,SomeHS,20,1,NeverMarried,PartTime
Democrat,Liberal,White,Male,SomeHS,70,0,Divorced,Retired
Democrat,Liberal,Black,Female,HighSchool,30,2,NeverMarried,PartTime
Democrat,Liberal,White,Male,HighSchool,31,0,NeverMarried,InSchool
Democrat,Moderate,White,Male,SomeHS,61,5,Divorced,FullTime
Independent,Conservative,White,Female,HighSchool,36,2,Married,StayAtHome
Democrat,Moderate,White,Female,HighSchool,49,3,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,35,2,Married,FullTime
Democrat,Conservative,White,Female,Bachelor,44,0,Divorced,FullTime
Independent,Conservative,White,Male,SomeHS,60,5,Married,FullTime
Independent,Moderate,White,Male,SomeHS,64,3,Married,FullTime
Independent,Conservative,White,Female,Bachelor,31,0,Divorced,FullTime
Republican,Conservative,White,Male,Bachelor,51,2,Married,FullTime
Independent,Liberal,White,Male,Bachelor,38,0,Divorced,FullTime
Democrat,Conservative,Black,Female,SomeHS,62,2,Divorced,FullTime
Republican,Conservative,White,Female,HighSchool,39,5,Married,PartTime
Republican,Conservative,White,Female,HighSchool,29,1,Married,StayAtHome
Independent,Liberal,White,Male,JrCol,47,3,Divorced,FullTime
Democrat,Liberal,Black,Male,HighSchool,33,2,Married,FullTime
Independent,Liberal,White,Male,HighSchool,40,0,NeverMarried,FullTime
Independent,Moderate,Black,Male,HighSchool,38,0,NeverMarried,FullTime
Independent,Conservative,Black,Female,HighSchool,37,4,NeverMarried,StayAtHome
Democrat,Conservative,Black,Female,HighSchool,42,4,Married,FullTime
Independent,Moderate,Black,Male,Bachelor,35,2,NeverMarried,FullTime
Republican,Liberal,White,Female,HighSchool,62,4,Married,FullTime
Independent,Conservative,White,Male,HighSchool,45,1,Married,FullTime
Democrat,Conservative,White,Female,Graduate,36,0,NeverMarried,FullTime
Democrat,Moderate,White,Male,HighSchool,80,4,Married,Retired
Independent,Moderate,White,Male,Graduate,82,7,Married,Retired
Democrat,Conservative,White,Female,HighSchool,72,3,Married,Retired
Republican,Conservative,White,Male,HighSchool,63,3,Married,FullTime
Independent,Conservative,White,Female,HighSchool,36,4,Married,StayAtHome
Republican,Conservative,White,Male,HighSchool,49,0,Married,FullTime
Democrat,Conservative,White,Female,HighSchool,61,1,Married,Retired
Republican,Conservative,White,Male,Bachelor,73,3,Married,Retired
Independent,Liberal,White,Male,Graduate,75,3,Married,Retired
Republican,Conservative,White,Female,Bachelor,55,0,NeverMarried,FullTime
Independent,Moderate,White,Female,HighSchool,74,3,Married,Retired
Republican,Conservative,White,Female,HighSchool,60,3,Married,Retired
Republican,Conservative,White,Male,HighSchool,38,1,Divorced,FullTime
Democrat,Moderate,White,Female,Bachelor,27,0,Married,FullTime
Independent,Moderate,White,Male,HighSchool,66,2,Separated,Retired
Democrat,Liberal,White,Female,Graduate,51,3,Married,Retired
Democrat,Moderate,Black,Male,HighSchool,44,2,Married,FullTime
Democrat,Conservative,Black,Male,HighSchool,31,1,Divorced,FullTime
Republican,Conservative,White,Male,HighSchool,36,1,Married,FullTime
Democrat,Conservative,Black,Male,Bachelor,42,2,Married,FullTime
Independent,Conservative,White,Female,Bachelor,31,0,Married,FullTime
Democrat,Moderate,Black,Male,JrCol,47,4,Married,FullTime
Democrat,Moderate,Other,Male,HighSchool,19,0,NeverMarried,InSchool
Independent,Moderate,White,Female,Graduate,37,2,Widowed,FullTime
Republican,Conservative,White,Male,JrCol,59,2,Married,FullTime
Republican,Moderate,White,Male,Bachelor,38,1,Married,FullTime
Republican,Moderate,White,Female,HighSchool,33,1,Divorced,FullTime
Republican,Liberal,White,Male,JrCol,39,3,Married,FullTime
Republican,Conservative,White,Female,HighSchool,61,0,Married,StayAtHome
Independent,Moderate,Other,Female,Bachelor,35,1,Widowed,FullTime
Independent,Conservative,White,Female,HighSchool,22,0,NeverMarried,InSchool
Republican,Moderate,White,Male,Bachelor,34,0,Married,FullTime
Independent,Conservative,White,Male,Bachelor,23,0,NeverMarried,FullTime
Independent,Moderate,Other,Male,HighSchool,21,0,NeverMarried,FullTime
Democrat,Moderate,Black,Female,Bachelor,38,2,Married,FullTime
Democrat,Moderate,White,Female,Bachelor,31,2,Married,PartTime
Republican,Moderate,White,Female,Bachelor,43,0,NeverMarried,FullTime
Republican,Moderate,White,Female,HighSchool,28,3,Married,StayAtHome
Republican,Conservative,White,Female,HighSchool,42,2,Married,StayAtHome
Independent,Moderate,White,Female,HighSchool,26,1,Married,StayAtHome
Democrat,Moderate,White,Male,HighSchool,42,0,NeverMarried,Unempl
Independent,Conservative,White,Male,HighSchool,61,3,Married,FullTime
Republican,Conservative,White,Male,Bachelor,38,2,Married,FullTime
Independent,Liberal,White,Male,Bachelor,26,0,Married,FullTime
Independent,Moderate,White,Male,HighSchool,50,2,Married,Unempl
Democrat,Moderate,White,Male,HighSchool,46,3,Divorced,FullTime
Independent,Conservative,White,Female,HighSchool,38,3,Married,StayAtHome
Independent,Conservative,White,Female,Bachelor,51,1,Widowed,FullTime
Independent,Liberal,White,Female,JrCol,28,0,NeverMarried,PartTime
Democrat,Moderate,White,Female,HighSchool,47,2,Married,PartTime
Independent,Conservative,White,Male,HighSchool,21,0,NeverMarried,PartTime
Independent,Liberal,White,Female,JrCol,50,2,Divorced,FullTime
Independent,Moderate,White,Female,HighSchool,51,3,Married,FullTime
Republican,Conservative,White,Female,Bachelor,48,1,Married,FullTime
Democrat,Liberal,White,Female,Graduate,57,1,Divorced,FullTime
Republican,Conservative,White,Female,Bachelor,62,3,Widowed,StayAtHome
Independent,Liberal,White,Female,Bachelor,41,0,Married,FullTime
Republican,Conservative,White,Female,HighSchool,75,4,Widowed,Retired
Republican,Moderate,White,Female,Graduate,74,0,NeverMarried,Retired
Democrat,Liberal,Black,Female,HighSchool,40,1,Separated,FullTime
Republican,Conservative,White,Male,HighSchool,73,2,Married,Retired
Democrat,Liberal,Black,Male,HighSchool,58,2,Divorced,FullTime
Democrat,Moderate,White,Male,HighSchool,51,2,Married,UnemplLaidoff
Independent,Liberal,Black,Female,HighSchool,22,0,NeverMarried,PartTime
Independent,Liberal,White,Female,HighSchool,49,1,Divorced,FullTime
Democrat,Liberal,White,Male,HighSchool,35,2,Divorced,Unempl
Independent,Liberal,White,Female,HighSchool,66,3,Divorced,Retired
Republican,Conservative,White,Female,Bachelor,38,0,NeverMarried,FullTime
Independent,Moderate,White,Female,HighSchool,27,0,NeverMarried,FullTime
Independent,Liberal,White,Female,HighSchool,51,2,Married,Unempl
Independent,Liberal,White,Female,Bachelor,43,4,Married,InSchool
Republican,Liberal,White,Female,HighSchool,31,1,Divorced,FullTime
Independent,Moderate,White,Female,Graduate,35,0,Married,PartTime
Democrat,Liberal,White,Female,HighSchool,20,0,Separated,FullTime
Democrat,Liberal,White,Female,HighSchool,21,0,NeverMarried,PartTime
Democrat,Liberal,White,Female,Graduate,33,0,Married,FullTime
Democrat,Liberal,White,Female,Graduate,59,3,Married,FullTime
Independent,Liberal,White,Male,HighSchool,26,0,NeverMarried,FullTime
Democrat,Conservative,Black,Female,HighSchool,27,3,Divorced,FullTime
Independent,Conservative,Black,Female,JrCol,44,2,Widowed,UnemplLaidoff
Democrat,Moderate,Black,Male,HighSchool,36,1,Divorced,FullTime
Republican,Conservative,White,Male,Bachelor,34,1,Married,FullTime
Republican,Conservative,White,Female,Bachelor,37,0,NeverMarried,FullTime
Democrat,Conservative,White,Male,HighSchool,32,1,NeverMarried,FullTime
Democrat,Conservative,Black,Male,Bachelor,29,3,Married,FullTime
Independent,Moderate,Other,Male,HighSchool,29,0,NeverMarried,InSchool
Democrat,Liberal,White,Male,SomeHS,57,6,Divorced,FullTime
Independent,Liberal,White,Female,Graduate,25,0,Married,FullTime
Independent,Conservative,White,Female,SomeHS,52,2,Divorced,FullTime
Democrat,Moderate,White,Male,Bachelor,53,2,Married,FullTime
Independent,Moderate,Black,Female,Bachelor,23,0,NeverMarried,InSchool
Republican,Moderate,White,Male,Bachelor,32,0,NeverMarried,FullTime
Democrat,Moderate,Black,Female,Bachelor,28,1,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,38,0,NeverMarried,Unempl
Independent,Moderate,White,Male,HighSchool,25,0,NeverMarried,PartTime
Democrat,Moderate,Black,Female,Bachelor,27,1,NeverMarried,FullTime
Democrat,Conservative,White,Female,SomeHS,48,2,Divorced,FullTime
Independent,Liberal,Black,Female,HighSchool,51,0,NeverMarried,PartTime
Democrat,Moderate,Black,Female,HighSchool,40,4,Divorced,FullTime
Independent,Moderate,White,Male,Bachelor,30,0,NeverMarried,FullTime
Democrat,Moderate,Black,Female,HighSchool,22,0,NeverMarried,InSchool
Democrat,Moderate,Black,Male,SomeHS,29,4,Married,StayAtHome
Democrat,Conservative,Black,Female,HighSchool,28,0,NeverMarried,FullTime
Independent,Liberal,White,Male,HighSchool,34,1,Divorced,FullTime
Republican,Conservative,Black,Female,HighSchool,42,2,Divorced,FullTime
Democrat,Liberal,Black,Female,HighSchool,33,1,Divorced,FullTime
Independent,Conservative,Black,Female,HighSchool,21,0,NeverMarried,FullTime
Republican,Conservative,Black,Female,HighSchool,37,1,NeverMarried,FullTime
Democrat,Conservative,Black,Female,HighSchool,23,0,Married,FullTime
Democrat,Moderate,Black,Female,HighSchool,23,2,NeverMarried,PartTime
Democrat,Moderate,White,Female,SomeHS,77,3,Widowed,StayAtHome
Republican,Conservative,White,Male,SomeHS,61,2,Married,FullTime
Democrat,Moderate,Black,Female,HighSchool,45,5,Separated,PartTime
Independent,Conservative,Black,Female,HighSchool,36,2,Separated,StayAtHome
Independent,Conservative,White,Female,HighSchool,54,0,Married,StayAtHome
Democrat,Liberal,Black,Female,HighSchool,21,0,NeverMarried,InSchool
Republican,Conservative,White,Male,HighSchool,73,0,Married,Retired
Democrat,Liberal,Black,Female,Bachelor,38,1,Divorced,FullTime
Independent,Moderate,White,Male,Bachelor,66,4,Married,PartTime
Democrat,Moderate,Black,Female,Bachelor,54,1,Widowed,FullTime
Independent,Moderate,White,Female,HighSchool,35,2,Married,StayAtHome
Independent,Moderate,White,Female,HighSchool,52,2,Married,FullTime
Independent,Moderate,White,Female,HighSchool,35,3,Married,PartTime
Republican,Moderate,White,Female,Bachelor,52,2,Divorced,FullTime
Independent,Conservative,White,Female,HighSchool,19,0,NeverMarried,UnemplLaidoff
Independent,Moderate,White,Female,HighSchool,73,1,Married,StayAtHome
Republican,Conservative,White,Male,Graduate,43,4,Married,FullTime
Republican,Conservative,White,Male,Graduate,43,3,Married,FullTime
Republican,Moderate,White,Male,Bachelor,58,2,Married,FullTime
Republican,Conservative,White,Male,Bachelor,68,2,Married,Retired
Democrat,Liberal,White,Female,Bachelor,42,2,Married,InSchool
Independent,Moderate,White,Male,Graduate,45,3,Married,FullTime
Independent,Moderate,White,Male,JrCol,49,2,Divorced,FullTime
Democrat,Liberal,White,Male,SomeHS,60,4,Married,Unempl
Independent,Liberal,White,Female,HighSchool,36,0,Separated,FullTime
Democrat,Conservative,Black,Female,HighSchool,38,4,Married,FullTime
Independent,Conservative,White,Female,HighSchool,50,2,Widowed,FullTime
Democrat,Liberal,White,Male,SomeHS,49,2,Married,FullTime
Democrat,Liberal,White,Female,JrCol,36,1,NeverMarried,FullTime
Democrat,Conservative,Black,Male,HighSchool,45,4,Divorced,FullTime
Republican,Moderate,White,Male,HighSchool,40,0,Married,FullTime
Independent,Liberal,Other,Female,HighSchool,32,2,Married,FullTime
Independent,Conservative,White,Female,HighSchool,51,2,Divorced,FullTime
Democrat,Conservative,Black,Male,HighSchool,30,0,NeverMarried,FullTime
Democrat,Conservative,White,Male,HighSchool,30,0,NeverMarried,FullTime
Independent,Conservative,White,Female,Bachelor,33,0,NeverMarried,FullTime
Republican,Moderate,White,Male,HighSchool,67,0,Married,Retired
Democrat,Liberal,Black,Female,HighSchool,49,1,Divorced,FullTime
Democrat,Conservative,White,Female,HighSchool,32,2,Married,PartTime
Republican,Conservative,White,Male,HighSchool,73,4,Married,Retired
Republican,Moderate,White,Female,JrCol,40,4,Married,StayAtHome
Republican,Conservative,White,Female,Bachelor,51,1,NeverMarried,FullTime
Republican,Moderate,Black,Female,Bachelor,26,0,Married,FullTime
Republican,Conservative,Black,Male,HighSchool,29,3,Separated,FullTime
Democrat,Liberal,White,Female,SomeHS,83,5,Widowed,Retired
Independent,Conservative,White,Male,HighSchool,38,2,Divorced,FullTime
Democrat,Moderate,White,Male,SomeHS,83,2,Widowed,Retired
Democrat,Conservative,White,Male,SomeHS,59,4,Married,FullTime
Democrat,Liberal,White,Male,JrCol,28,0,NeverMarried,InSchool
Independent,Moderate,White,Female,HighSchool,43,1,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,44,0,Married,FullTime
Republican,Conservative,White,Female,JrCol,36,2,Divorced,FullTime
Democrat,Liberal,Black,Male,HighSchool,40,1,Separated,FullTime
Independent,Conservative,White,Male,JrCol,33,0,NeverMarried,FullTime
Democrat,Moderate,White,Female,SomeHS,41,3,Divorced,FullTime
Republican,Conservative,White,Male,Graduate,46,1,Divorced,FullTime
Republican,Conservative,White,Female,HighSchool,53,3,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,33,4,Separated,FullTime
Independent,Liberal,White,Female,JrCol,40,0,Married,FullTime
Democrat,Liberal,White,Female,HighSchool,64,6,Divorced,FullTime
Republican,Conservative,White,Female,HighSchool,77,8,Widowed,Retired
Independent,Conservative,White,Female,HighSchool,57,3,Married,FullTime
Independent,Moderate,White,Female,JrCol,48,2,Divorced,Retired
Independent,Moderate,White,Female,HighSchool,65,3,Divorced,Retired
Democrat,Moderate,White,Male,HighSchool,61,2,Married,FullTime
Independent,Moderate,White,Female,JrCol,25,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,43,2,Married,FullTime
Independent,Conservative,White,Male,Bachelor,34,1,Married,FullTime
Independent,Moderate,White,Female,HighSchool,38,2,Married,PartTime
Republican,Moderate,White,Female,HighSchool,40,2,Married,StayAtHome
Independent,Conservative,White,Female,Graduate,45,0,Separated,FullTime
Independent,Conservative,White,Male,HighSchool,35,2,Married,FullTime
Independent,Conservative,White,Male,HighSchool,51,2,Married,FullTime
Independent,Moderate,Other,Male,HighSchool,20,0,NeverMarried,FullTime
Republican,Conservative,White,Male,HighSchool,32,0,Married,FullTime
Republican,Liberal,White,Female,JrCol,36,0,NeverMarried,FullTime
Democrat,Liberal,White,Female,HighSchool,42,0,Married,StayAtHome
Democrat,Conservative,White,Female,HighSchool,45,2,Married,FullTime
Democrat,Conservative,White,Female,SomeHS,89,6,Widowed,StayAtHome
Democrat,Moderate,White,Male,HighSchool,78,0,Divorced,Retired
Republican,Liberal,White,Male,JrCol,56,3,Divorced,FullTime
Democrat,Conservative,Other,Female,SomeHS,60,7,Married,StayAtHome
Independent,Conservative,Black,Female,HighSchool,34,1,Married,FullTime
Independent,Liberal,White,Male,HighSchool,40,1,Married,FullTime
Independent,Moderate,White,Male,HighSchool,31,1,NeverMarried,FullTime
Independent,Moderate,White,Female,HighSchool,34,3,Divorced,FullTime
Democrat,Moderate,White,Female,SomeHS,28,2,NeverMarried,PartTime
Independent,Liberal,White,Female,JrCol,46,2,Married,FullTime
Democrat,Conservative,White,Male,HighSchool,39,0,Married,FullTime
Republican,Conservative,White,Male,HighSchool,33,2,Married,FullTime
Independent,Moderate,Black,Female,SomeHS,26,5,Married,StayAtHome
